   ,ID,COMPANYCODE,CHINESENAME,LASTCHINESENAME,TRADITIONALCHINESENAME,LASTTRADITIONALCHINESENAME,ENGLISHNAME,LASTENGLISHNAME,BUSINESSLICENSE,COMPANYREGISTRATIONTYPES,CHINESEADDRESS,TRADITIONALADDRESS,ENGLISHADDRESS,LEGAL,DATEESTABLISHMENT,BUSINESSSCOPE,BUSINESSSTARTDATE,BUSINESSENDDATE,AUTHORISEDSHARECAPITAL,CURRENCY,COMPANYTYPE,HELD,BUSINESSCONDITIONS,GENERATIONMANAGEMENT,AUTHORISEDSHARECAPITALNUMBER,MDM_CODE,UPDATECREATEDATE
1589,8ab4ffdd3246d737013246f01af70152,,安阳华润燃气(香港)有限公司,,安陽華潤燃氣(香港)有限公司,,Anyang China Resources Gas (Hong Kong) Limited,,,香港,,,"44/F, China Resources Building; 26 Harbour Road; Wanchai; Hong Kong; People's Republic of China",,2009/5/27,<CLOB>,,,,,私营股份公司,,经营中[营运],,10000,,
1590,4028807b320044f4013200ec6bdb03ca,VAN_0045,南京苏盛特拜克商贸有限公司,,南京蘇盛特拜克商貿有限公司,,,,3.20121E+14,中国,南京市江宁区横溪街道陶吴狮子山路29号,,,马嘉樑;馬嘉樑;,2008/4/28,<CLOB>,2008/4/24,2018/4/23,4000000,,有限责任公司,非全资子公司,清盘中,,,,
1591,4028807b320044f40132009ce7ec01d1,VAN_0061,江苏苏盛商贸有限公司,,江蘇蘇盛商貿有限公司,,,,3.2E+14,中国,南京市雨花台区长虹南路310号,,,马嘉樑;馬嘉樑;,2007/6/1,<CLOB>,2007/6/1,2037/5/31,10000000,,有限责任公司,非全资子公司,经营中[营运],,,,2012/5/21
1592,4028807b320044f4013200bfa532022f,VAN_0098,苏果超市（张家港）有限公司,,蘇果超市（張家港）有限公司,,,,3.20582E+12,中国,张家港市长安路梁丰科技综合楼 ,,,马嘉樑;馬嘉樑;,2005/1/28,<CLOB>,2005/1/28,,5000000,,有限责任公司,非全资子公司,经营中[营运],,,,
1593,8ab4ff983252192101325219fd5a002a,CRNF_0102,五丰行有限公司,,五豐行有限公司,華潤五豐有限公司,Ng Fung Hong Limited,China Resources Ng Fung Limited,,香港,,,39/F China Resources Building; 26 Harbour Road; Wanchai; Hong Kong; People's Republic of China,,2011/6/17,<CLOB>,,,,,私营股份公司,全资子公司,经营中[营运],,10000,,2011/6/21
1594,4028807b32954b1a013299cc823c0208,VAN_0064,深圳市启杰商贸有限公司,,深圳市啟杰商貿有限公司,深圳市啟傑商貿有限公司,,,4.40301E+14,中国,深圳市罗湖区田贝一路华丽园北座地下一层101室,,,胡振典;胡振典;,2007/8/15,<CLOB>,2007/8/15,2057/8/15,3000000,,其他有限责任公司,全资子公司,经营中[营运],,,,2012/6/13
1595,8ab4ffdd3246e3d3013246ec41a10023,,中国康力克进出口有限公司,,中國康力克進出口有限公司,,China Conic Import & Export Company Limited,,,,,,,,,<CLOB>,,,,,,,,,,,2007/11/12
1596,8ab4ffdd3246e3d3013246ec423c0025,,,,,,China National Foreign Trade Transportation Corporation,,,,,,,,,<CLOB>,,,,,,,,,,,2008/4/28
1597,8ab4ffdd3246d737013246f023f90167,,朝轩有限公司,,朝軒有限公司,,Place Day Limited,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town; Tortola; British Virgin Islands",,2008/3/18,<CLOB>,,,,,私营公司,,经营中[营运],,50000,,
1598,4028807b320914fc013209751ba900f6,CRSB_0023,华润雪花啤酒（绵竹）有限责任公司,,華潤雪花啤酒（綿竹）有限責任公司,,,"China Resources Snow Breweries (Mianzhu) Co., Ltd.  ",5.106E+14,中国,四川省绵竹市绵遵路干河桥地段,,,王群;王群;Wang Qun,1998/3/4,<CLOB>,1998/3/4,2048/3/3,32000000,人民币,有限责任公司,全资子公司,经营中[营运],,,,2012/6/6
1599,8ab4ffdd3246d737013246f04ca901bc,,耀采有限公司,,耀采有限公司,,SPARKLE APPLAUSE LIMITED,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town; Tortola; British Virgin Islands",,2009/8/11,<CLOB>,,,,,私营公司,,经营中[营运],,50000,,
1600,8ab4ffdd3246d737013246f0ae660253,,贺盈实业有限公司,,賀盈實業有限公司,,Pure Wealth Industrial Limited,,,香港,,,"Unit 1305, 13/F., Tai Tung Building, 8 Fleming Road, Wanchai, Hong Kong; People's Republic of China",,2008/8/21,<CLOB>,,,,,私营股份公司,,经营中[营运],,10000,,
1601,8ab4ff98325219210132521b0517018b,UPMARKET,,,,,Upmarket Enterprises Limited,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town, Tortola; British Virgin Islands",,2000/1/5,<CLOB>,,,,,私营公司,,失去客户联系,,50000,,2011/7/22
1602,8ab4ff983252192101325219fe09002b,CREP_0005,华晋有限公司,,華晉有限公司,,China Rise Limited,,,开曼群岛,,,"Scotia Centre, 4th Floor; P.O. Box 2804, George Town; Grand Cayman; Cayman Islands",,2006/6/9,<CLOB>,,,,,私营公司,,经营中[营运],,50000,,2006/7/21
1603,4028807b3222e0fd013224be48180df2,HYJT-2011-09-01-1649,法国瑞香酒家,,,,,,,中国,,,,,,<CLOB>,,,,,,,,,,,
1604,4028807b3222e0fd013224c51cb10e31,HYJT-2011-09-01-1650,洲际食品香港有限公司,,,,,,,中国,,,,,,<CLOB>,,,,,,,,,,,
1605,8ab4ffad3237a665013237a7884f003b,,,,,,Cityball Limited,,,,,,,,,<CLOB>,,,,,,,,,,,2001/9/28
1606,8ab4ffad3237a665013237a78899003c,,,,,,Client Nominees Limited,,,,,,,,,<CLOB>,,,,,,,,,,,2001/7/19
1607,4028807b320914fc01320b5ddce50ec4,CRSB_0037,华润雪花啤酒（兴安）有限公司,,華潤雪花啤酒（興安）有限公司,,,"China Resources Snow Breweries (Xingan) Co., Ltd. ",1.5E+14,中国,内蒙古乌兰浩特工业经济开发区中央北路1号,,,,2006/12/21,<CLOB>,2006/12/21,2056/12/20,14000000,美元,有限责任公司,全资子公司,经营中[营运],,,,2012/6/13
1608,8ab4ff98325219210132521a98d600f7,LOFTUS,,,,,Loftus Agents Limited,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town; Tortola; British Virgin Islands",,1996/4/4,<CLOB>,,,,,私营公司,,经营中[营运],,50000,,
